year,month,state_code,deaths
1991,10,QLD,31
1991,10,SA,21
1991,10,TAS,6
1991,10,VIC,36
1991,10,WA,24
1991,11,NSW,49
1991,11,NT,8
1991,11,QLD,41
1991,11,SA,16
1991,11,TAS,6
1991,11,VIC,35
1991,11,WA,11
1991,12,NSW,56
1991,12,NT,1
1991,12,QLD,36
1991,12,SA,16
1991,12,TAS,5
1991,12,VIC,53
1991,12,WA,23
1992,1,ACT,1
1992,1,NSW,55
1992,1,NT,5
1992,1,QLD,34
1992,1,SA,23
1992,1,TAS,7
1992,1,VIC,34
1992,1,WA,16
1992,2,ACT,2
1992,2,NSW,56
1992,2,NT,14
1992,2,QLD,19
1992,2,SA,12
1992,2,TAS,4
1992,2,VIC,33
1992,2,WA,8
1992,3,ACT,1
1992,3,NSW,56
1992,3,NT,2
1992,3,QLD,22
1992,3,SA,21
1992,3,TAS,5
1992,3,VIC,34
1992,3,WA,20
1992,4,ACT,4
1992,4,NSW,47
1992,4,NT,8
1992,4,QLD,43
1992,4,SA,17
1992,4,TAS,7
1992,4,VIC,47
1992,4,WA,12
1992,5,ACT,2
1992,5,NSW,41
1992,5,NT,4
1992,5,QLD,40
1992,5,SA,15
1992,5,TAS,2
1992,5,VIC,33
1992,5,WA,15
1992,6,ACT,2
1992,6,NSW,59
1992,6,NT,1
1992,6,QLD,43
1992,6,SA,9
1992,6,TAS,9
1992,6,VIC,29
1992,6,WA,16
1992,7,ACT,2
1992,7,NSW,53
1992,7,NT,2
1992,7,QLD,37
1992,7,SA,22
1992,7,TAS,2
1992,7,VIC,23
1992,7,WA,18
1992,8,ACT,2
1992,8,NSW,65
1992,8,NT,2
1992,8,QLD,37
1992,8,SA,13
1992,8,TAS,3
1992,8,VIC,27
1992,8,WA,8
1992,9,ACT,2
1992,9,NSW,50
1992,9,QLD,29
1992,9,SA,6
1992,9,TAS,4
1992,9,VIC,28
1992,9,WA,29
1992,10,ACT,1
1992,10,NSW,62
1992,10,NT,5
1992,10,QLD,37
1992,10,SA,11
1992,10,TAS,20
1992,10,VIC,38
1992,10,WA,19
1992,11,NSW,55
1992,11,NT,4
1992,11,QLD,35
1992,11,SA,6
1992,11,TAS,4
1992,11,VIC,30
1992,11,WA,17
1992,12,ACT,1
1992,12,NSW,50
1992,12,NT,7
1992,12,QLD,40
1992,12,SA,10
1992,12,TAS,7
1992,12,VIC,40
1992,12,WA,22
1993,1,NSW,44
1993,1,NT,2
1993,1,QLD,29
1993,1,SA,20
1993,1,TAS,8
1993,1,VIC,26
1993,1,WA,8
1993,2,ACT,1
1993,2,NSW,31
1993,2,NT,1
1993,2,QLD,34
1993,2,SA,14
1993,2,TAS,4
1993,2,VIC,40
1993,2,WA,11
1993,3,ACT,1
1993,3,NSW,56
1993,3,NT,4
1993,3,QLD,20
1993,3,SA,22
1993,3,TAS,3
1993,3,VIC,37
1993,3,WA,15
1993,4,NSW,51
1993,4,NT,7
1993,4,QLD,26
1993,4,SA,20
1993,4,TAS,3
1993,4,VIC,39
1993,4,WA,16
1993,5,NSW,37
1993,5,NT,1
1993,5,QLD,25
1993,5,SA,20
1993,5,TAS,4
1993,5,VIC,44
1993,5,WA,19
1993,6,ACT,1
1993,6,NSW,42
1993,6,NT,5
1993,6,QLD,33
1993,6,SA,14
1993,6,TAS,2
1993,6,VIC,33
1993,6,WA,16
1993,7,NSW,42
1993,7,NT,3
1993,7,QLD,35
1993,7,SA,15
1993,7,TAS,3
1993,7,VIC,33
1993,7,WA,17
1993,8,ACT,1
1993,8,NSW,59
1993,8,NT,7
1993,8,QLD,46
1993,8,SA,15
1993,8,TAS,5
1993,8,VIC,27
1993,8,WA,25
1993,9,ACT,2
1993,9,NSW,42
1993,9,NT,2
1993,9,QLD,38
1993,9,SA,18
1993,9,TAS,7
1993,9,VIC,34
1993,9,WA,15
1993,10,ACT,5
1993,10,NSW,59
1993,10,NT,7
1993,10,QLD,45
1993,10,SA,22
1993,10,TAS,6
1993,10,VIC,39
1993,10,WA,24
1993,11,ACT,1
1993,11,NSW,55
1993,11,NT,3
1993,11,QLD,28
1993,11,SA,18
1993,11,TAS,7
1993,11,VIC,43
1993,11,WA,15
1993,12,NSW,63
1993,12,NT,2
1993,12,QLD,37
1993,12,SA,20
1993,12,TAS,6
1993,12,VIC,40
1993,12,WA,28
1994,1,ACT,1
1994,1,NSW,56
1994,1,NT,6
1994,1,QLD,37
1994,1,SA,8
1994,1,TAS,3
1994,1,VIC,36
1994,1,WA,11
1994,2,ACT,1
1994,2,NSW,41
1994,2,NT,1
1994,2,QLD,31
1994,2,SA,10
1994,2,TAS,4
1994,2,VIC,31
1994,2,WA,12
1994,3,ACT,1
1994,3,NSW,65
1994,3,NT,3
1994,3,QLD,28
1994,3,SA,23
1994,3,TAS,5
1994,3,VIC,44
1994,3,WA,16
1994,4,ACT,4
1994,4,NSW,53
1994,4,NT,2
1994,4,QLD,22
1994,4,SA,15
1994,4,TAS,5
1994,4,VIC,35
1994,4,WA,16
1994,5,ACT,1
1994,5,NSW,51
1994,5,NT,8
1994,5,QLD,26
1994,5,SA,11
1994,5,TAS,5
1994,5,VIC,27
1994,5,WA,17
1994,6,ACT,3
1994,6,NSW,42
1994,6,NT,1
1994,6,QLD,41
1994,6,SA,14
1994,6,TAS,8
1994,6,VIC,33
1994,6,WA,16
1994,7,NSW,52
1994,7,NT,2
1994,7,QLD,31
1994,7,SA,17
1994,7,TAS,7
