year,state_code,remoteness,crashes,deaths
2019,ACT,Inner Regional Australia,1,1
2019,ACT,Major Cities of Australia,4,4
2019,ACT,Unknown,1,1
2019,NSW,Inner Regional Australia,128,135
2019,NSW,Major Cities of Australia,122,132
2019,NSW,Outer Regional Australia,65,72
2019,NSW,Remote Australia,9,9
2019,NSW,Very Remote Australia,5,5
2019,NT,Outer Regional Australia,12,13
2019,NT,Remote Australia,5,12
2019,NT,Very Remote Australia,11,11
2019,QLD,Inner Regional Australia,62,69
2019,QLD,Major Cities of Australia,53,57
2019,QLD,Outer Regional Australia,56,61
2019,QLD,Remote Australia,15,21
2019,QLD,Very Remote Australia,10,11
2019,SA,Inner Regional Australia,27,29
2019,SA,Major Cities of Australia,41,41
2019,SA,Outer Regional Australia,28,30
2019,SA,Remote Australia,6,6
2019,SA,Very Remote Australia,8,8
2019,TAS,Inner Regional Australia,5,5
2019,TAS,Outer Regional Australia,23,23
2019,TAS,Remote Australia,1,1
2019,VIC,Inner Regional Australia,92,100
2019,VIC,Major Cities of Australia,119,125
2019,VIC,Outer Regional Australia,37,41
2019,WA,Inner Regional Australia,36,40
2019,WA,Major Cities of Australia,47,49
2019,WA,Outer Regional Australia,27,29
2019,WA,Remote Australia,13,13
2019,WA,Unknown,10,12
2019,WA,Very Remote Australia,19,20
2020,ACT,Inner Regional Australia,1,1
2020,ACT,Major Cities of Australia,3,4
2020,ACT,Unknown,2,2
2020,NSW,Inner Regional Australia,87,94
2020,NSW,Major Cities of Australia,112,119
2020,NSW,Outer Regional Australia,58,64
2020,NSW,Remote Australia,6,6
2020,NSW,Very Remote Australia,1,1
2020,NT,Outer Regional Australia,9,10
2020,NT,Remote Australia,4,5
2020,NT,Very Remote Australia,15,16
2020,QLD,Inner Regional Australia,77,82
2020,QLD,Major Cities of Australia,81,88
2020,QLD,Outer Regional Australia,63,76
2020,QLD,Remote Australia,16,17
2020,QLD,Very Remote Australia,14,15
2020,SA,Inner Regional Australia,24,27
2020,SA,Major Cities of Australia,27,29
2020,SA,Outer Regional Australia,21,24
2020,SA,Remote Australia,4,4
2020,SA,Very Remote Australia,9,9
2020,TAS,Inner Regional Australia,13,16
2020,TAS,Outer Regional Australia,17,20
2020,TAS,Remote Australia,1,1
2020,TAS,Unknown,1,1
2020,VIC,Inner Regional Australia,84,90
2020,VIC,Major Cities of Australia,83,92
2020,VIC,Outer Regional Australia,26,27
2020,VIC,Remote Australia,2,2
2020,WA,Inner Regional Australia,33,40
2020,WA,Major Cities of Australia,47,49
2020,WA,Outer Regional Australia,26,29
2020,WA,Remote Australia,10,12
2020,WA,Unknown,7,7
2020,WA,Very Remote Australia,14,18
2021,ACT,Inner Regional Australia,1,1
2021,ACT,Major Cities of Australia,4,4
2021,ACT,Unknown,6,6
2021,NSW,Inner Regional Australia,93,102
2021,NSW,Major Cities of Australia,92,92
2021,NSW,Outer Regional Australia,67,73
2021,NSW,Remote Australia,8,8
2021,NT,Outer Regional Australia,14,14
2021,NT,Remote Australia,5,5
2021,NT,Very Remote Australia,13,16
2021,QLD,Inner Regional Australia,77,84
2021,QLD,Major Cities of Australia,83,94
2021,QLD,Outer Regional Australia,59,64
2021,QLD,Remote Australia,19,23
2021,QLD,Very Remote Australia,10,12
2021,SA,Inner Regional Australia,29,31
2021,SA,Major Cities of Australia,33,33
2021,SA,Outer Regional Australia,24,26
2021,SA,Remote Australia,4,4
2021,SA,Very Remote Australia,4,5
2021,TAS,Inner Regional Australia,8,8
2021,TAS,Outer Regional Australia,22,25
2021,TAS,Remote Australia,2,2
2021,TAS,Very Remote Australia,1,1
2021,VIC,Inner Regional Australia,86,91
2021,VIC,Major Cities of Australia,100,110
2021,VIC,Outer Regional Australia,26,29
2021,VIC,Unknown,1,1
2021,WA,Inner Regional Australia,34,38
2021,WA,Major Cities of Australia,54,56
2021,WA,Outer Regional Australia,29,29
2021,WA,Remote Australia,14,15
2021,WA,Unknown,9,10
2021,WA,Very Remote Australia,18,18
2022,ACT,Major Cities of Australia,15,18
