year,state_code,crash_type,crashes,deaths
2000,WA,Multiple,66,83
2000,WA,Single,118,129
2001,ACT,Multiple,8,8
2001,ACT,Single,7,8
2001,NSW,Multiple,224,255
2001,NSW,Single,262,269
2001,NT,Multiple,5,5
2001,NT,Single,38,45
2001,QLD,Multiple,120,136
2001,QLD,Single,176,188
2001,SA,Multiple,53,64
2001,SA,Single,84,89
2001,TAS,Multiple,24,29
2001,TAS,Single,28,32
2001,VIC,Multiple,185,216
2001,VIC,Single,219,228
2001,WA,Multiple,59,69
2001,WA,Single,92,96
2002,ACT,Multiple,4,6
2002,ACT,Single,4,4
2002,NSW,Multiple,205,239
2002,NSW,Single,296,322
2002,NT,Multiple,9,17
2002,NT,Single,31,38
2002,QLD,Multiple,126,149
2002,QLD,Single,157,173
2002,SA,Multiple,47,58
2002,SA,Single,91,96
2002,TAS,Multiple,12,12
2002,TAS,Single,23,25
2002,VIC,Multiple,156,179
2002,VIC,Single,205,218
2002,WA,Multiple,64,73
2002,WA,Single,95,106
2003,ACT,Multiple,3,4
2003,ACT,Single,7,7
2003,NSW,Multiple,215,256
2003,NSW,Single,268,283
2003,NT,Multiple,6,7
2003,NT,Single,38,46
2003,QLD,Multiple,120,136
2003,QLD,Single,164,174
2003,SA,Multiple,49,56
2003,SA,Single,87,101
2003,TAS,Multiple,20,21
2003,TAS,Single,19,20
2003,VIC,Multiple,131,150
2003,VIC,Single,163,180
2003,WA,Multiple,59,72
2003,WA,Single,96,108
2004,ACT,Multiple,4,4
2004,ACT,Single,5,5
2004,NSW,Multiple,201,234
2004,NSW,Single,257,276
2004,NT,Multiple,6,6
2004,NT,Single,28,29
2004,QLD,Multiple,120,128
2004,QLD,Single,169,183
2004,SA,Multiple,54,61
2004,SA,Single,74,78
2004,TAS,Multiple,20,24
2004,TAS,Single,32,34
2004,VIC,Multiple,154,174
2004,VIC,Single,158,169
2004,WA,Multiple,61,72
2004,WA,Single,101,106
2005,ACT,Multiple,10,11
2005,ACT,Single,15,15
2005,NSW,Multiple,195,227
2005,NSW,Single,264,281
2005,NT,Multiple,12,12
2005,NT,Single,39,43
2005,QLD,Multiple,125,149
2005,QLD,Single,171,181
2005,SA,Multiple,55,67
2005,SA,Single,72,81
2005,TAS,Multiple,20,21
2005,TAS,Single,29,30
2005,VIC,Multiple,144,171
2005,VIC,Single,170,175
2005,WA,Multiple,64,70
2005,WA,Single,87,93
2006,ACT,Multiple,5,5
2006,ACT,Single,7,8
2006,NSW,Multiple,187,217
2006,NSW,Single,262,279
2006,NT,Multiple,22,24
2006,NT,Single,19,21
2006,QLD,Multiple,122,129
2006,QLD,Single,191,206
2006,SA,Multiple,45,55
2006,SA,Single,59,62
2006,TAS,Multiple,25,36
2006,TAS,Single,18,19
2006,VIC,Multiple,127,141
2006,VIC,Single,182,196
2006,WA,Multiple,63,72
2006,WA,Single,118,128
2007,ACT,Multiple,5,5
2007,ACT,Single,9,9
2007,NSW,Multiple,184,200
2007,NSW,Single,221,235
2007,NT,Multiple,8,10
2007,NT,Single,39,48
2007,QLD,Multiple,149,164
2007,QLD,Single,189,196
2007,SA,Multiple,41,54
2007,SA,Single,66,70
2007,TAS,Multiple,22,26
2007,TAS,Single,17,19
2007,VIC,Multiple,117,146
2007,VIC,Single,172,186
2007,WA,Multiple,71,83
2007,WA,Single,143,152
2008,ACT,Multiple,6,6
2008,ACT,Single,8,8
2008,NSW,Multiple,145,161
2008,NSW,Single,208,213
2008,NT,Multiple,14,14
2008,NT,Single,53,61
2008,QLD,Multiple,124,145
2008,QLD,Single,170,183
2008,SA,Multiple,38,42
2008,SA,Single,49,57
2008,TAS,Multiple,13,14
2008,TAS,Single,24,25
2008,VIC,Multiple,113,130
2008,VIC,Single,165,173
2008,WA,Multiple,68,76
2008,WA,Single,117,129
2009,ACT,Multiple,2,2
2009,ACT,Single,9,10
2009,NSW,Multiple,167,198
2009,NSW,Single,242,256
2009,NT,Multiple,9,9
2009,NT,Single,22,22
2009,QLD,Multiple,125,149
2009,QLD,Single,171,182
2009,SA,Multiple,36,40
2009,SA,Single,68,79
2009,TAS,Multiple,26,33
2009,TAS,Single,26,30
2009,VIC,Multiple,114,129
2009,VIC,Single,154,161
2009,WA,Multiple,60,68
2009,WA,Single,116,123
2010,ACT,Multiple,13,16
2010,ACT,Single,3,3
2010,NSW,Multiple,169,198
2010,NSW,Single,196,207
2010,NT,Multiple,11,12
2010,NT,Single,35,38
2010,QLD,Multiple,103,113
2010,QLD,Single,133,136
2010,SA,Multiple,44,51
2010,SA,Single,61,67
2010,TAS,Multiple,18,20
2010,TAS,Single,11,11
2010,VIC,Multiple,124,141
2010,VIC,Single,136,147
2010,WA,Multiple,67,76
2010,WA,Single,109,117
2011,ACT,Multiple,2,2
2011,ACT,Single,4,4
2011,NSW,Multiple,152,171
2011,NSW,Single,184,193
