year,month,state_code,deaths,erp,rate_per_100k
2020,12,NT,5,1606.0,311.332503113325
2020,12,QLD,30,1.06,2830188.679245283
2020,12,QLD,30,54588.0,54.957133435919985
2020,12,QLD,30,5184329.0,0.57866697888965
2020,12,SA,8,1794514.0,0.44580315338860554
2020,12,SA,8,15586.0,51.32811497497754
2020,12,SA,8,0.88,909090.9090909092
2020,12,TAS,2,8541.0,23.416461772626157
2020,12,TAS,2,561881.0,0.35594725573564506
2020,12,TAS,2,1.54,129870.12987012987
2020,12,VIC,16,6567195.0,0.24363522021197787
2020,12,VIC,16,-0.35,-4571428.571428572
2020,12,VIC,16,-22855.0,-70.00656311529205
2020,12,WA,11,2728187.0,0.40319816786752527
2020,12,WA,11,39388.0,27.927287498730575
2020,12,WA,11,1.46,753424.6575342466
2021,1,ACT,1,1.48,67567.56756756756
2021,1,ACT,1,6538.0,15.295197308045275
2021,1,ACT,1,449573.0,0.22243328669648757
2021,1,NSW,24,-0.23,-10434782.608695652
2021,1,NSW,24,8093015.0,0.2965520266550847
2021,1,NSW,24,-18986.0,-126.40893289792479
2021,1,NT,3,0.49,612244.8979591837
2021,1,NT,3,248185.0,1.2087757116667002
2021,1,NT,3,1216.0,246.71052631578945
2021,1,QLD,20,0.88,2272727.2727272725
2021,1,QLD,20,45243.0,44.20573348363283
2021,1,QLD,20,5199548.0,0.3846488194743081
2021,1,SA,8,1798586.0,0.44479385472810307
2021,1,SA,8,10739.0,74.49483192103548
2021,1,SA,8,0.6,1333333.3333333335
2021,1,TAS,2,8865.0,22.560631697687533
2021,1,TAS,2,564840.0,0.3540825720558034
2021,1,TAS,2,1.59,125786.16352201258
2021,1,VIC,14,6555302.0,0.21356758239361054
2021,1,VIC,14,-0.93,-1505376.3440860214
2021,1,VIC,14,-61334.0,-22.82583884957772
2021,1,WA,25,2739105.0,0.9127068878337997
2021,1,WA,25,32755.0,76.3242253091131
2021,1,WA,25,1.21,2066115.702479339
2021,2,ACT,2,1.48,135135.13513513512
2021,2,ACT,2,6538.0,30.59039461609055
2021,2,ACT,2,449573.0,0.44486657339297514
2021,2,NSW,26,-0.23,-11304347.826086957
2021,2,NSW,26,8093015.0,0.32126469554300835
2021,2,NSW,26,-18986.0,-136.9430106394185
2021,2,QLD,28,0.88,3181818.1818181816
2021,2,QLD,28,45243.0,61.888026877085956
2021,2,QLD,28,5199548.0,0.5385083472640314
2021,2,SA,9,1798586.0,0.500393086569116
2021,2,SA,9,10739.0,83.80668591116492
2021,2,SA,9,0.6,1500000.0
2021,2,TAS,1,8865.0,11.280315848843767
2021,2,TAS,1,564840.0,0.1770412860279017
2021,2,TAS,1,1.59,62893.08176100629
2021,2,VIC,21,6555302.0,0.3203513735904158
2021,2,VIC,21,-0.93,-2258064.5161290322
2021,2,VIC,21,-61334.0,-34.23875827436658
2021,2,WA,8,2739105.0,0.29206620410681594
2021,2,WA,8,32755.0,24.423752098916196
2021,2,WA,8,1.21,661157.0247933884
2021,3,ACT,1,1.48,67567.56756756756
2021,3,ACT,1,6538.0,15.295197308045275
2021,3,ACT,1,449573.0,0.22243328669648757
2021,3,NSW,20,-0.23,-8695652.173913043
2021,3,NSW,20,8093015.0,0.24712668887923722
2021,3,NSW,20,-18986.0,-105.34077741493732
2021,3,NT,2,0.49,408163.2653061225
2021,3,NT,2,248185.0,0.8058504744444669
2021,3,NT,2,1216.0,164.4736842105263
2021,3,QLD,28,0.88,3181818.1818181816
2021,3,QLD,28,45243.0,61.888026877085956
2021,3,QLD,28,5199548.0,0.5385083472640314
2021,3,SA,14,1798586.0,0.7783892457741803
2021,3,SA,14,10739.0,130.3659558618121
2021,3,SA,14,0.6,2333333.3333333335
2021,3,VIC,24,6555302.0,0.3661158555319038
2021,3,VIC,24,-0.93,-2580645.1612903224
2021,3,VIC,24,-61334.0,-39.130009456418954
2021,3,WA,11,2739105.0,0.4015910306468719
2021,3,WA,11,32755.0,33.58265913600977
2021,3,WA,11,1.21,909090.9090909092
2021,4,ACT,1,1.71,58479.53216374269
2021,4,ACT,1,7605.0,13.149243918474687
2021,4,ACT,1,452508.0,0.22099056812255255
2021,4,NSW,25,-0.17,-14705882.352941176
2021,4,NSW,25,8097062.0,0.3087539653271767
2021,4,NSW,25,-13548.0,-184.52908178328906
2021,4,NT,2,0.29,689655.1724137932
2021,4,NT,2,248151.0,0.8059608867181676
2021,4,NT,2,723.0,276.6251728907331
2021,4,QLD,17,0.97,1752577.319587629
2021,4,QLD,17,50201.0,33.863867253640365
2021,4,QLD,17,5215814.0,0.3259318679692182
2021,4,SA,8,1802601.0,0.4438031488942922
2021,4,SA,8,12246.0,65.32745386248571
2021,4,SA,8,0.68,1176470.588235294
2021,4,TAS,6,9661.0,62.10537211468792
2021,4,TAS,6,567239.0,1.057755196663135
